LSOA11CD,domain_supermarket_proximity,domain_supermarket_accessibility,domain_ecommerce_access,domain_socio_demographic,domain_nonsupermarket_proximity,domain_food_for_families,domain_fuel_poverty,country,country_denominator,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
E01011684,7633,16096.0,18707.0,19435,10163,649,19042.0,E,33755,4504,3,5.0,6.0,6,4,1,6.0,2
E01011685,10680,12324.0,30601.0,25986,10715,284,27621.0,E,33755,18645,4,4.0,10.0,8,4,1,9.0,6
E01011686,10248,14839.0,949.0,3107,12302,823,8598.0,E,33755,111,4,5.0,1.0,1,4,1,3.0,1
E01011687,6676,17746.0,27352.0,20128,9929,454,25329.0,E,33755,11119,2,6.0,9.0,6,3,1,8.0,4
E01011688,30037,23550.0,27352.0,16908,16637,262,24244.0,E,33755,20993,9,7.0,9.0,6,5,1,8.0,7
E01011689,30913,18287.0,18707.0,14103,15254,190,23415.0,E,33755,14960,10,6.0,6.0,5,5,1,7.0,5
E01011690,20529,20341.0,30601.0,22518,13851,110,27192.0,E,33755,21110,7,7.0,10.0,7,5,1,9.0,7
E01011691,32277,25071.0,6632.0,6180,16911,157,11655.0,E,33755,11244,10,8.0,2.0,2,6,1,4.0,4
E01011692,30537,16370.0,30601.0,19959,17459,65,27366.0,E,33755,24796,10,5.0,10.0,6,6,1,9.0,8
E01011693,31717,23101.0,30601.0,15749,18247,86,12915.0,E,33755,21428,10,7.0,10.0,5,6,1,4.0,7
E01011694,25015,12166.0,30601.0,20908,15827,43,14220.0,E,33755,14321,8,4.0,10.0,7,5,1,5.0,5
E01011695,12558,9818.0,9458.0,5041,11581,881,7072.0,E,33755,176,4,3.0,3.0,2,4,1,3.0,1
E01011696,3962,7129.0,14568.0,30291,11661,998,28497.0,E,33755,14517,2,3.0,5.0,9,4,1,9.0,5
