LSOA11CD,centroid_x,centroid_y
E01033031,431042.709,434107.187999999
E01011336,424652.074,434710.710999999
E01011337,423738.22,434787.677999999
E01011334,424104.315,434675.152000001
E01011335,422977.478,434721.026000001
E01011332,425084.321,435388.663000001
E01011333,423305.368,435112.874
E01011330,423598.724,435660.07
E01011331,424323.532,435048.454
E01011338,431607.825,433735.846999999
E01011339,433586.675,435222.136
E01011546,426269.256,426710.698999999
E01011547,426828.562,426883.388
E01011545,426062.368,427091.122
E01011540,427893.029,427909.290999999
E01011541,426396.265,427455.017000001
E01011548,427573.86,425473.119000001
E01011549,428245.272,425844.324999999
E01011434,432020.95,435046.022
E01011435,427603.183,436109.181
E01011432,432322.393,435174.223999999
E01011433,432355.164,434933.705
E01011430,432228.152,435480.016000001
E01011431,432949.798,435261.949999999
E01011316,429701.158,430733.755000001
E01011397,441488.897,433308.504000001
E01011317,427840.884,430261.262
E01011396,440288.912,433173.931
E01011314,429148.483,430925.215
E01011395,439465.853,426003.411
E01011315,428796.785,430626.450999999
E01011394,440130.483,427168.390000001
E01011312,429899.111,431003.886
E01011393,439197.961,427049.017000001
E01011313,429042.634,430768.889
E01011392,440149.481,429708.103
E01011310,437937.488,440495.786
E01011391,438124.285,430423.471999999
E01011311,436056.822,441303.455
E01011390,438522.063,430204.198999999
E01011318,427430.387,430397.467
E01011399,439836.669,432964.062999999
E01011319,429296.753,430253.491
E01011398,441816.835,433513.098999999
E01011276,421132.894,440722.676000001
E01011277,419867.155,440401.194
E01011274,420752.714,440834.963
E01011275,420042.499,440814.136
E01011272,419525.701,441082.25
E01011273,420228.722,441237.397
E01011270,417701.105,441577.301000001
E01011271,418667.024,441676.821
E01011278,420684.374,440039.101
E01011279,419317.178,442519.091
E01011526,426422.327,429135.278999999
E01011527,422374.288,428355.301999999
E01011524,427163.554,429321.366
E01011522,424889.755,429145.218
E01011523,424322.034,428840.617000001
E01011520,423996.418,429497.363
E01011521,422252.16,428978.476
E01011528,426149.758,428863.131999999
E01011529,422940.624,428434.955
E01032946,428552.985,435844.631999999
E01011416,435865.166,433704.253
E01011497,429696.068,427522.473999999
E01011417,435373.456,433437.377
E01011496,432669.195,427925.869999999
E01011414,436394.257,433822.128
E01011415,435079.575,433470.549000001
